Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Total_Income,Log_Income
1,1,2,0,0,3340,1710.0,150.0,360.0,0.0,0,5050.0,8.114025442356757
1,1,0,1,0,1820,1769.0,95.0,360.0,1.0,0,3589.0,7.507141079727608
0,0,0,0,0,3692,0.0,93.0,360.0,1.0,0,3692.0,8.214194414852564
1,1,1,0,0,2787,1917.0,146.0,360.0,0.0,0,4704.0,7.933079771880415
1,1,1,0,0,3875,0.0,67.0,360.0,1.0,2,3875.0,8.262558973010657
1,0,0,0,0,4000,2500.0,140.0,360.0,1.0,0,6500.0,8.294299608857235
0,0,0,0,0,2507,0.0,56.0,360.0,1.0,0,2507.0,7.827240901752812
1,1,1,0,0,2882,1843.0,123.0,480.0,1.0,1,4725.0,7.9665866976384025
0,1,0,0,0,4333,2451.0,110.0,360.0,1.0,2,6784.0,8.374246182096304
1,1,0,0,0,2698,2034.0,122.0,360.0,1.0,1,4732.0,7.900636613018005
0,0,0,0,0,1811,1666.0,54.0,360.0,1.0,2,3477.0,7.502186486602924
1,1,1,0,0,3315,0.0,96.0,360.0,1.0,1,3315.0,8.106514516255185
1,1,2,0,0,2873,1872.0,132.0,360.0,0.0,1,4745.0,7.96346006663897
1,1,0,0,0,4860,830.0,125.0,360.0,1.0,1,5690.0,8.488999457045455
1,1,0,0,0,1759,3541.0,131.0,360.0,1.0,1,5300.0,7.473069088032197
0,0,0,1,0,4408,0.0,120.0,360.0,1.0,1,4408.0,8.391403185357937
1,0,0,0,0,2980,2083.0,120.0,360.0,1.0,0,5063.0,8.000014093678072
1,0,0,1,0,3189,2598.0,120.0,360.0,1.0,0,5787.0,8.06777619577889
1,1,0,0,0,3948,1733.0,149.0,360.0,0.0,0,5681.0,8.28121766128665
1,1,0,1,0,1863,1041.0,98.0,360.0,1.0,1,2904.0,7.530479995245536
1,1,1,0,0,1782,2232.0,107.0,360.0,1.0,0,4014.0,7.48605261786314
1,1,0,1,0,4188,0.0,115.0,180.0,1.0,1,4188.0,8.340217320947035
1,1,0,0,0,3500,1667.0,114.0,360.0,1.0,1,5167.0,8.160803920954665
0,1,0,1,0,1928,1644.0,100.0,360.0,1.0,1,3572.0,7.564757012905729
1,1,1,0,0,3155,1779.0,140.0,360.0,1.0,1,4934.0,8.057060681965766
1,1,2,1,0,3917,0.0,124.0,360.0,1.0,1,3917.0,8.273336598504486
1,1,0,0,0,1977,997.0,50.0,360.0,1.0,1,2974.0,7.589841512182657
1,1,1,0,0,2750,1842.0,115.0,360.0,1.0,1,4592.0,7.919719760924575
0,0,0,0,0,2500,0.0,67.0,360.0,1.0,2,2500.0,7.824445930877619
0,0,1,0,0,3541,0.0,112.0,360.0,1.0,1,3541.0,8.17244681834278
1,1,1,1,0,2653,1500.0,113.0,180.0,0.0,0,4153.0,7.8838232148921525
0,0,0,0,0,4124,0.0,115.0,360.0,1.0,1,4124.0,8.324821298768782
1,0,0,1,0,3975,2531.0,55.0,360.0,1.0,0,6506.0,8.288031567776464
0,0,1,0,0,3812,0.0,112.0,360.0,1.0,0,3812.0,8.246171559857563
1,1,3,0,0,2666,2083.0,95.0,360.0,1.0,0,4749.0,7.888709524182015
0,1,0,0,0,4583,0.0,84.0,360.0,1.0,0,4583.0,8.430327258394575
1,1,0,1,0,3814,1483.0,124.0,300.0,1.0,1,5297.0,8.246695943718557
1,1,1,0,1,2895,0.0,95.0,360.0,1.0,1,2895.0,7.971085753505607
1,0,0,0,0,3583,0.0,96.0,360.0,1.0,2,3583.0,8.18423477409482
1,0,0,0,0,3229,2739.0,110.0,360.0,1.0,2,5968.0,8.080237416216702
1,1,2,1,0,1958,1456.0,60.0,300.0,1.0,2,3414.0,7.580189417944541
1,1,2,0,0,4400,0.0,127.0,360.0,0.0,1,4400.0,8.38958706681109
1,0,0,0,0,2987,0.0,88.0,360.0,0.0,1,2987.0,8.002359546252707
1,0,0,1,0,3691,0.0,110.0,360.0,1.0,0,3691.0,8.213923595622743
0,0,0,0,0,2917,0.0,84.0,360.0,1.0,1,2917.0,7.978653729082731
1,1,0,0,0,1820,1719.0,100.0,360.0,1.0,2,3539.0,7.507141079727608
1,1,3,1,1,5703,0.0,130.0,360.0,1.0,0,5703.0,8.648922962094131
0,0,0,0,0,3086,0.0,120.0,360.0,1.0,1,3086.0,8.034955024502159
0,0,0,0,0,3510,0.0,76.0,360.0,0.0,2,3510.0,8.163656176168432
1,1,0,0,0,4333,2451.0,110.0,360.0,1.0,2,6784.0,8.374246182096304
0,0,0,0,0,5417,0.0,143.0,480.0,0.0,2,5417.0,8.59748202264504
0,1,2,0,0,2031,1632.0,113.0,480.0,1.0,1,3663.0,7.616775808698373
0,1,0,0,0,3625,0.0,108.0,360.0,1.0,1,3625.0,8.195885391314796
0,0,0,0,1,2600,1717.0,99.0,300.0,1.0,1,4317.0,7.8636512654486515
1,1,2,1,0,2192,1742.0,45.0,360.0,1.0,1,3934.0,7.693025748417888
1,0,1,0,0,3667,0.0,113.0,180.0,1.0,2,3667.0,8.207401833376355
1,0,0,0,0,4191,0.0,120.0,360.0,1.0,0,4191.0,8.340933226000878
1,1,1,0,0,5468,1032.0,26.0,360.0,1.0,1,6500.0,8.606851063346772
1,1,1,0,0,1880,0.0,61.0,360.0,1.0,0,1880.0,7.53955882930103
1,0,0,1,0,6783,0.0,130.0,360.0,1.0,1,6783.0,8.822322177471738
1,1,2,1,0,3675,242.0,108.0,360.0,1.0,1,3917.0,8.209580483475577
1,0,0,0,1,5166,0.0,128.0,360.0,1.0,1,5166.0,8.550047528287184
1,1,0,0,0,4817,923.0,120.0,180.0,1.0,2,5740.0,8.480114183174816
1,1,0,0,0,2221,0.0,60.0,360.0,0.0,2,2221.0,7.706162970199576
1,1,1,1,0,6608,0.0,137.0,180.0,1.0,2,6608.0,8.796187635470453
1,1,2,0,1,5746,0.0,144.0,84.0,1.0,0,5746.0,8.656433258507741
1,0,0,1,0,2927,2405.0,111.0,360.0,1.0,1,5332.0,7.982074875081202
1,1,0,0,0,3859,3300.0,142.0,180.0,1.0,0,7159.0,8.258422462458876
1,1,0,1,0,2583,2358.0,120.0,360.0,1.0,2,4941.0,7.857093864902493
1,1,0,0,0,2400,2167.0,115.0,360.0,1.0,1,4567.0,7.783640596221253
1,0,0,1,0,4885,0.0,48.0,360.0,1.0,0,4885.0,8.494129251817686
1,1,2,1,0,3083,2168.0,126.0,360.0,1.0,2,5251.0,8.03398273468322
0,1,0,0,1,5500,0.0,105.0,360.0,0.0,0,5500.0,8.612685172875459
1,0,0,1,0,3748,1668.0,110.0,360.0,1.0,1,5416.0,8.229244416735913
1,1,1,1,0,2600,2500.0,90.0,360.0,1.0,1,5100.0,7.8636512654486515
1,1,2,0,0,3859,0.0,96.0,360.0,1.0,1,3859.0,8.258422462458876
0,0,1,0,0,4723,0.0,81.0,360.0,1.0,1,4723.0,8.460411177317253
0,1,2,1,0,210,2917.0,98.0,360.0,1.0,1,3127.0,5.351858133476067
1,1,0,1,0,3074,1800.0,123.0,360.0,0.0,1,4874.0,8.031060180240619
1,0,0,0,0,3418,0.0,127.0,360.0,1.0,1,3418.0,8.137103389639302
1,0,0,0,0,5316,0.0,136.0,360.0,1.0,2,5316.0,8.57866451350434
1,1,0,1,0,2917,536.0,66.0,360.0,1.0,0,3453.0,7.978653729082731
1,1,0,0,0,2400,0.0,75.0,360.0,1.0,2,2400.0,7.783640596221253
1,0,0,0,0,2718,0.0,70.0,360.0,1.0,1,2718.0,7.908019444632471
1,1,0,1,0,2600,1700.0,107.0,360.0,1.0,0,4300.0,7.8636512654486515
1,1,2,0,0,2045,1619.0,101.0,360.0,1.0,0,3664.0,7.6236419465115715
1,0,0,0,0,5124,0.0,124.0,360.0,0.0,0,5124.0,8.54188580400661
1,1,2,0,0,5391,0.0,130.0,360.0,1.0,2,5391.0,8.592671652592143
1,1,0,0,0,3727,1775.0,131.0,360.0,1.0,1,5502.0,8.223627175805483
1,1,2,0,0,3153,1560.0,134.0,360.0,1.0,2,4713.0,8.056426767522984
1,1,0,0,0,3166,2064.0,104.0,360.0,0.0,2,5230.0,8.06054004653864
1,1,2,1,0,3357,2859.0,144.0,360.0,1.0,2,6216.0,8.119100837637486
1,1,0,0,0,3593,4266.0,132.0,180.0,0.0,0,7859.0,8.187021067343505
1,0,0,1,0,3620,0.0,25.0,120.0,1.0,1,3620.0,8.19450550976564
1,1,1,0,1,3466,1210.0,130.0,360.0,1.0,0,4676.0,8.151044945685024
1,0,0,0,0,4895,0.0,102.0,360.0,1.0,1,4895.0,8.496173824192162
1,1,3,0,0,4416,1250.0,110.0,360.0,1.0,2,5666.0,8.393216011596527
1,1,2,1,0,4288,3263.0,133.0,180.0,1.0,2,7551.0,8.36380888451688
1,0,0,1,0,6045,0.0,115.0,360.0,0.0,0,6045.0,8.707152175339404
1,1,0,1,0,4887,0.0,133.0,360.0,1.0,0,4887.0,8.494538500851432
0,1,0,0,0,2645,3440.0,120.0,360.0,0.0,2,6085.0,7.880804344674901
1,0,0,0,0,1800,1213.0,47.0,360.0,1.0,2,3013.0,7.496097345175956
1,1,0,0,0,2620,2223.0,150.0,360.0,1.0,1,4843.0,7.8713112033234065
1,1,0,0,0,3716,0.0,42.0,180.0,1.0,0,3716.0,8.220672170297252
1,1,3,0,0,4691,0.0,100.0,360.0,1.0,1,4691.0,8.453614209773367
0,0,0,0,0,4547,0.0,115.0,360.0,1.0,1,4547.0,8.422442854870427
1,1,2,0,1,6250,1300.0,108.0,360.0,1.0,0,7550.0,8.740496729931813
1,0,0,0,1,6822,0.0,141.0,360.0,1.0,0,6822.0,8.828054536815424
0,1,0,0,0,2423,505.0,130.0,360.0,1.0,1,2928.0,7.793174347189205
1,1,3,1,0,3850,983.0,100.0,360.0,1.0,1,4833.0,8.25608813381491
1,0,0,0,0,3254,0.0,50.0,360.0,1.0,2,3254.0,8.08794755464267
1,1,0,1,0,4467,0.0,120.0,360.0,1.0,0,4467.0,8.404696160189092
1,1,2,1,1,1875,1875.0,97.0,360.0,1.0,1,3750.0,7.53689712956617
1,0,0,0,1,7167,0.0,128.0,360.0,1.0,2,7167.0,8.877381954654766
1,1,0,0,0,3539,1376.0,55.0,360.0,1.0,0,4915.0,8.17188200612782
1,1,0,0,0,2483,2466.0,90.0,180.0,0.0,0,4949.0,7.81762544305337
1,0,0,0,0,3158,3053.0,89.0,360.0,1.0,0,6211.0,8.058010800802085
1,1,2,0,0,2708,1167.0,97.0,360.0,1.0,1,3875.0,7.904334842085095
1,1,3,0,0,7740,0.0,128.0,180.0,1.0,2,7740.0,8.954286157204713
0,0,0,0,0,3166,2985.0,132.0,360.0,1.0,0,6151.0,8.06054004653864
1,1,2,1,0,2889,0.0,45.0,180.0,0.0,2,2889.0,7.969011781106478
1,1,0,0,0,3775,0.0,110.0,360.0,1.0,1,3775.0,8.236420527265391
1,1,0,1,0,2333,1516.0,95.0,360.0,1.0,2,3849.0,7.755338812846501
1,0,0,0,0,2500,20000.0,103.0,360.0,1.0,1,22500.0,7.824445930877619
0,1,1,0,0,4608,2845.0,140.0,180.0,1.0,1,7453.0,8.435766192720509
0,1,0,0,0,4583,0.0,112.0,360.0,1.0,0,4583.0,8.430327258394575
1,1,0,0,0,4750,2333.0,130.0,360.0,1.0,2,7083.0,8.46611040118692
1,1,3,0,0,3466,3428.0,150.0,360.0,1.0,0,6894.0,8.151044945685024
1,1,0,0,1,5503,4490.0,70.0,360.0,1.0,1,9993.0,8.61323037961318
1,1,2,0,0,3900,0.0,90.0,360.0,1.0,1,3900.0,8.268988209506656
1,1,1,0,0,3089,1280.0,121.0,360.0,0.0,1,4369.0,8.035926369891792
0,0,0,0,0,2378,0.0,46.0,360.0,1.0,0,2378.0,7.774435510302958
1,1,0,0,0,2500,2118.0,104.0,360.0,1.0,1,4618.0,7.824445930877619
0,0,0,0,0,4166,0.0,116.0,360.0,0.0,1,4166.0,8.334951631422454
0,0,0,0,0,3410,0.0,88.0,360.0,1.0,2,3410.0,8.134760782418645
0,0,0,1,0,2720,0.0,80.0,360.0,0.0,2,2720.0,7.908754738783246
1,1,1,1,0,3399,1640.0,111.0,180.0,1.0,2,5039.0,8.131530710604252
1,0,2,0,0,3617,0.0,107.0,360.0,1.0,1,3617.0,8.193676665955241
1,0,0,0,0,3600,0.0,80.0,360.0,1.0,2,3600.0,8.188966863648876
1,0,0,0,0,4166,0.0,98.0,360.0,0.0,1,4166.0,8.334951631422454
1,0,0,0,0,2500,0.0,96.0,480.0,1.0,1,2500.0,7.824445930877619
0,0,0,1,0,2213,0.0,66.0,360.0,1.0,0,2213.0,7.7025561132685825
1,0,0,0,0,2060,2209.0,134.0,360.0,1.0,1,4269.0,7.630946580890459
1,1,2,0,0,3283,2035.0,148.0,360.0,1.0,2,5318.0,8.096817470572319
1,0,0,0,0,2971,2791.0,144.0,360.0,1.0,1,5762.0,7.99699040583765
1,1,0,0,0,2958,2900.0,131.0,360.0,1.0,1,5858.0,7.99260665240021
0,1,2,0,0,4283,2383.0,127.0,360.0,1.0,1,6666.0,8.36264243156764
1,1,3,0,0,3430,1250.0,128.0,360.0,0.0,1,4680.0,8.14060704285845
1,1,2,0,0,1299,1086.0,17.0,120.0,1.0,2,2385.0,7.170119543449628
1,0,0,0,0,4133,0.0,122.0,360.0,1.0,1,4133.0,8.327000740241713
1,1,0,1,0,7660,0.0,104.0,360.0,0.0,2,7660.0,8.94389780251682
1,1,0,0,0,1809,1868.0,90.0,360.0,1.0,2,3677.0,7.501082124259871
1,1,2,0,0,4616,0.0,134.0,360.0,1.0,2,4616.0,8.43750042250699
1,1,3,0,0,4106,0.0,40.0,180.0,1.0,0,4106.0,8.320448113956559
1,1,1,1,0,1958,2436.0,131.0,360.0,1.0,0,4394.0,7.580189417944541
1,1,3,1,0,3173,0.0,74.0,360.0,1.0,1,3173.0,8.062747901086354
1,0,0,0,0,1926,1851.0,50.0,360.0,1.0,1,3777.0,7.563719668414366
1,0,2,0,0,3588,0.0,110.0,360.0,0.0,0,3588.0,8.185628891147607
1,1,0,0,0,4310,0.0,130.0,360.0,1.0,1,4310.0,8.368925174747135
1,0,0,0,0,4917,0.0,130.0,360.0,0.0,0,4917.0,8.500657222776137
1,0,0,0,0,2833,0.0,71.0,360.0,1.0,2,2833.0,7.949444420250626
0,0,1,1,0,5191,0.0,132.0,360.0,1.0,1,5191.0,8.554874258383926
1,0,0,0,0,2526,1783.0,145.0,360.0,1.0,0,4309.0,7.834788107388194
1,1,0,0,0,3033,1459.0,95.0,360.0,1.0,2,4492.0,8.017637159908478
1,1,2,0,1,2726,0.0,106.0,360.0,0.0,1,2726.0,7.910957382845589
0,0,0,0,0,5000,0.0,103.0,360.0,0.0,1,5000.0,8.517393171418904
0,0,0,0,1,2500,0.0,93.0,360.0,1.0,2,2500.0,7.824445930877619
1,1,1,0,0,7250,1667.0,110.0,360.0,0.0,2,8917.0,8.888894669371593
1,1,2,0,0,3717,0.0,120.0,360.0,1.0,1,3717.0,8.220941168281389
1,1,3,1,0,4931,0.0,128.0,360.0,1.0,1,4931.0,8.503499864284235
1,1,0,0,0,3366,2200.0,135.0,360.0,1.0,0,5566.0,8.121777419161074
1,1,2,0,0,2583,2330.0,125.0,360.0,1.0,0,4913.0,7.857093864902493
1,1,0,1,0,2875,1750.0,105.0,360.0,1.0,1,4625.0,7.964155718840937
1,0,0,0,0,2435,0.0,75.0,360.0,1.0,2,2435.0,7.798112628829788
1,1,0,1,0,2167,2400.0,115.0,360.0,1.0,2,4567.0,7.681560362559537
1,1,0,1,1,4344,736.0,87.0,360.0,1.0,1,5080.0,8.376781037699493
1,1,3,1,0,4755,0.0,95.0,360.0,0.0,1,4755.0,8.467162257810672
1,1,0,0,1,3000,0.0,66.0,360.0,1.0,2,3000.0,8.006700845440367
1,1,3,1,1,7100,0.0,125.0,60.0,1.0,2,7100.0,8.867990898182093
1,1,2,0,0,2957,0.0,81.0,360.0,1.0,1,2957.0,7.992268643270745
1,1,3,0,0,4342,189.0,124.0,360.0,1.0,1,4531.0,8.376320632534823
1,1,0,0,0,5821,0.0,144.0,360.0,1.0,2,5821.0,8.669399124305569
0,0,0,0,0,2995,0.0,60.0,360.0,1.0,2,2995.0,8.005033344637111
1,1,1,0,0,1538,1425.0,30.0,360.0,1.0,2,2963.0,7.338888133838879
1,0,0,0,0,3500,0.0,81.0,300.0,1.0,1,3500.0,8.160803920954665
1,1,0,0,0,1025,2773.0,112.0,360.0,1.0,0,3798.0,6.933423025730715
1,1,2,0,0,4566,0.0,100.0,360.0,1.0,2,4566.0,8.426611813185
1,1,0,0,0,2600,3500.0,115.0,360.0,1.0,2,6100.0,7.8636512654486515
1,1,0,0,0,4625,2857.0,111.0,12.0,1.0,2,7482.0,8.439447842791385
1,1,2,1,0,4200,1430.0,129.0,360.0,1.0,0,5630.0,8.343077871169383
1,1,0,0,0,2920,16.12000084,87.0,360.0,1.0,0,2936.12000084,7.979681302387741
0,0,0,0,0,3418,0.0,135.0,360.0,1.0,0,3418.0,8.137103389639302
0,0,0,1,0,3400,0.0,95.0,360.0,1.0,0,3400.0,8.131824785007195
1,0,0,1,0,3833,0.0,110.0,360.0,1.0,0,3833.0,8.251663923605589
1,1,2,0,0,5000,0.0,72.0,360.0,0.0,1,5000.0,8.517393171418904
1,1,0,0,0,2083,3150.0,128.0,360.0,1.0,1,5233.0,7.642044402873258
0,1,0,0,0,3166,0.0,36.0,360.0,1.0,1,3166.0,8.06054004653864
1,1,1,1,0,4050,5302.0,138.0,360.0,1.0,0,9352.0,8.30671904320269
1,0,0,1,0,2346,1600.0,132.0,360.0,1.0,1,3946.0,7.760893195851024
1,0,0,0,0,3750,0.0,113.0,480.0,1.0,2,3750.0,8.229777750081887
0,0,0,0,0,4300,0.0,136.0,360.0,0.0,1,4300.0,8.366602832783736
0,1,0,1,0,4100,0.0,124.0,360.0,1.0,0,4100.0,8.31898612539206
1,1,0,1,0,1800,2934.0,93.0,360.0,0.0,2,4734.0,7.496097345175956
0,0,0,0,0,2900,0.0,71.0,360.0,1.0,0,2900.0,7.972810784121404
0,1,1,0,0,4666,0.0,135.0,360.0,1.0,2,4666.0,8.448271745949816
1,0,0,0,0,2833,1857.0,126.0,360.0,1.0,0,4690.0,7.949444420250626
1,1,1,0,0,3988,0.0,50.0,240.0,1.0,2,3988.0,8.291295851905407
1,0,0,1,0,3200,2254.0,126.0,180.0,0.0,2,5454.0,8.071218539969863
0,1,0,1,0,3017,663.0,102.0,360.0,1.0,1,3680.0,8.012349639327795
1,1,3,0,0,8750,4996.0,130.0,360.0,1.0,0,13746.0,9.076923258535832
1,0,0,1,0,3902,1666.0,109.0,360.0,1.0,0,5568.0,8.269500767180615
1,0,0,0,0,3167,0.0,74.0,360.0,1.0,2,3167.0,8.060855752934316
0,1,1,0,0,3326,913.0,105.0,84.0,1.0,1,4239.0,8.109826276018477
1,1,3,0,0,5250,0.0,94.0,360.0,1.0,2,5250.0,8.566173813637858
1,0,0,0,0,6500,0.0,105.0,360.0,0.0,0,6500.0,8.77971129020447
0,0,0,0,0,5000,0.0,132.0,360.0,1.0,0,5000.0,8.517393171418904
1,0,2,0,0,4354,0.0,136.0,360.0,1.0,0,4354.0,8.379079889286603
1,1,1,1,0,2239,2524.0,128.0,360.0,1.0,2,4763.0,7.7142311448490855
0,0,0,1,0,1963,0.0,53.0,360.0,1.0,1,1963.0,7.582738488914411
1,0,2,0,0,3547,0.0,80.0,360.0,0.0,0,3547.0,8.17413934342947
1,1,1,1,0,2510,1983.0,140.0,180.0,1.0,2,4493.0,7.828436359157585
1,1,0,0,0,3173,3021.0,137.0,360.0,1.0,2,6194.0,8.062747901086354
1,1,0,1,0,3406,4417.0,123.0,360.0,1.0,1,7823.0,8.133587417660966
1,1,3,0,0,6406,0.0,150.0,360.0,1.0,1,6406.0,8.765146421639022
1,1,0,0,0,9323,0.0,75.0,180.0,1.0,2,9323.0,9.140347000155648
1,1,2,0,1,3316,3500.0,88.0,360.0,1.0,2,6816.0,8.106816038947052
1,0,0,0,0,2500,0.0,55.0,360.0,1.0,1,2500.0,7.824445930877619
0,0,0,0,0,4160,0.0,71.0,360.0,1.0,1,4160.0,8.333510708982942
1,1,1,1,0,3500,1083.0,135.0,360.0,1.0,2,4583.0,8.160803920954665
0,0,0,0,1,4583,0.0,133.0,360.0,0.0,1,4583.0,8.430327258394575
0,0,2,0,0,3750,2083.0,120.0,360.0,1.0,1,5833.0,8.229777750081887
1,1,1,0,0,2014,2925.0,113.0,360.0,1.0,2,4939.0,7.608374474380783
1,1,1,0,0,3052,1030.0,100.0,360.0,1.0,2,4082.0,8.023879992734878
1,1,0,0,0,3497,1964.0,116.0,360.0,1.0,0,5461.0,8.159946655578548
1,1,0,0,0,2666,4300.0,121.0,360.0,1.0,0,6966.0,7.888709524182015
1,1,0,0,0,2785,2016.0,110.0,360.0,1.0,0,4801.0,7.932362154339751
1,0,0,0,0,2237,0.0,63.0,480.0,0.0,1,2237.0,7.71333788887187
